EmployeeID,AverageWorkingHoursPerWeek,OvertimeFrequency,RemoteWorkDays,LateArrivalFrequency,SickLeaveTaken,EmailActivityLevel,SystemLoginPatterns
110471,36.4,Low,2,Never,5,tprice@example.com,Regular
100326,36.3,Low,0,Sometimes,7,donna29@example.net,Regular
110665,42.4,Low,1,Often,8,twilliams@example.org,Regular
105902,42.9,Low,1,Rarely,7,qjohnson@example.com,Regular
111703,43.6,Medium,1,Rarely,5,natashagarcia@example.org,Regular
101100,39.1,High,3,Never,3,tina62@example.com,Regular
100468,35.4,Medium,5,Rarely,4,shawn60@example.com,Regular
110703,46.2,Low,2,Never,5,bentleycharles@example.org,Regular
106494,41.2,Medium,1,Never,4,gordonadams@example.org,Regular
110380,47.7,Low,2,Sometimes,1,kevin38@example.net,Regular
111198,40.1,Medium,1,Sometimes,3,felicia70@example.com,Regular
101652,39.0,High,3,Never,1,jamesharvey@example.net,Regular
110461,45.1,Low,2,Sometimes,1,christopherchan@example.org,Regular
111276,47.9,High,3,Never,3,nhoward@example.com,Regular
111220,37.7,Low,1,Sometimes,7,olong@example.org,Regular
110580,41.0,Medium,1,Never,6,timothy50@example.org,Regular
111584,47.2,Medium,3,Never,4,josephrodriguez@example.com,Regular
101154,37.0,Medium,5,Often,7,henry65@example.com,Regular
101274,36.5,Low,3,Often,3,castrokenneth@example.net,Irregular
101647,37.3,Low,3,Rarely,10,fbowman@example.com,Regular
100762,39.3,High,3,Rarely,1,gilbertjoshua@example.com,Regular
101345,35.9,High,4,Sometimes,3,jmiddleton@example.org,Regular
105323,45.5,Low,1,Never,4,kim64@example.net,Regular
110858,37.1,High,3,Rarely,3,oedwards@example.com,Regular
111318,46.0,Medium,0,Often,1,dford@example.net,Regular
106017,44.2,Low,1,Sometimes,5,james13@example.org,Regular
106687,42.2,Medium,3,Rarely,12,juarezgregory@example.com,Regular
106013,45.4,Low,3,Never,4,michellejones@example.org,Irregular
106314,45.3,Medium,2,Often,6,joseph00@example.net,Irregular
105458,39.7,Medium,3,Never,3,kimberly91@example.net,Regular
110836,36.7,Low,3,Rarely,6,jonesbecky@example.net,Regular
110980,36.7,High,3,Rarely,5,cooleyjessica@example.net,Regular
106008,47.6,Low,1,Never,5,timothymccarty@example.org,Irregular
105441,39.4,Low,3,Rarely,8,william70@example.com,Regular
101666,38.6,High,1,Sometimes,10,williamwelch@example.com,Regular
105754,36.7,Medium,2,Sometimes,2,atkinsonraymond@example.org,Irregular
100874,35.4,Low,2,Rarely,5,staceynelson@example.com,Regular
101560,38.3,Low,4,Sometimes,2,wpatterson@example.org,Regular
100869,41.8,High,2,Never,2,mayspatrick@example.org,Regular
105997,38.0,Medium,1,Never,3,karen89@example.com,Regular
101005,35.5,Medium,2,Rarely,5,tiffany83@example.org,Regular
110876,43.2,Medium,3,Never,3,johnstonjason@example.com,Irregular
100520,41.7,High,3,Sometimes,8,michael43@example.org,Regular
105889,39.3,Medium,3,Never,3,bobby22@example.com,Irregular
100620,50.2,Low,2,Sometimes,0,angelagarcia@example.net,Regular
106555,36.3,Low,3,Often,2,stoutleah@example.net,Regular
106392,38.0,Low,1,Often,6,shirleygallegos@example.com,Regular
106285,40.1,Low,2,Often,2,ray89@example.com,Irregular
110412,43.1,Low,2,Often,4,watkinscorey@example.com,Irregular
100799,43.9,High,4,Sometimes,5,jose33@example.com,Regular
106480,38.1,High,4,Rarely,1,jjenkins@example.net,Regular
106383,36.9,High,4,Rarely,1,tracybarker@example.net,Regular
105808,38.8,Low,2,Never,4,kevin42@example.net,Regular
100815,43.6,Medium,3,Never,3,darren17@example.com,Regular
100692,39.2,Low,2,Often,4,keithnicholas@example.net,Regular
111356,35.0,Low,2,Sometimes,7,laurenferguson@example.com,Regular
110833,38.5,High,3,Never,4,xharris@example.net,Regular
106621,42.4,Medium,3,Never,2,stacy51@example.org,Regular
101147,45.6,Medium,3,Rarely,7,nvelazquez@example.org,Regular
105401,42.1,Medium,2,Never,6,guerradavid@example.com,Regular
101615,36.1,High,3,Never,4,jacobflores@example.net,Regular
105685,39.5,Medium,2,Sometimes,3,elizabethbrock@example.org,Regular
101499,44.8,Medium,3,Sometimes,5,mercadonicole@example.com,Regular
101434,46.7,Low,4,Rarely,4,karenjohnson@example.com,Regular
110746,39.7,Low,1,Rarely,13,aaronmoore@example.com,Regular
101401,42.1,Medium,1,Sometimes,2,ulopez@example.net,Regular
110590,37.2,Low,3,Never,9,sabrinabrown@example.net,Regular
106673,39.4,Low,3,Often,7,gonzalezrachel@example.org,Regular
110450,40.9,Medium,3,Never,3,chadgarrett@example.net,Regular
100709,36.9,Low,1,Never,4,bmason@example.net,Regular
111486,43.7,Medium,0,Never,3,craig33@example.net,Irregular
106069,39.4,Low,3,Often,13,samuel07@example.org,Regular
105293,54.9,High,2,Rarely,6,ehumphrey@example.org,Regular
106467,38.6,Medium,3,Often,7,curtis76@example.org,Irregular
110725,38.0,Medium,2,Rarely,1,andreroman@example.net,Regular
101023,41.5,Low,3,Sometimes,5,ronald58@example.org,Irregular
100317,39.4,Low,4,Often,13,rrodriguez@example.org,Irregular
105736,41.0,Low,3,Never,8,katherine54@example.org,Regular
100526,46.8,Medium,4,Often,2,patrick84@example.org,Irregular
100338,40.3,Low,3,Rarely,3,hdonovan@example.net,Regular
105951,36.8,Low,1,Rarely,3,lindsey33@example.com,Regular
100282,35.8,Medium,2,Rarely,6,kellerzoe@example.org,Regular
105296,42.3,Low,3,Never,3,xkirby@example.org,Irregular
101058,40.5,Medium,3,Rarely,3,turnerfrank@example.net,Regular
111572,44.4,High,3,Rarely,5,thomaskatrina@example.org,Regular
105574,43.4,Low,3,Often,8,donna50@example.org,Regular
110865,42.9,Medium,4,Often,7,sharonhopkins@example.org,Regular
100667,41.6,Low,1,Sometimes,5,zhernandez@example.org,Regular
101043,51.7,Low,1,Never,7,oconnelltanner@example.net,Regular
101525,38.7,Low,4,Sometimes,7,rhodesbryan@example.org,Irregular
110658,35.1,Low,5,Sometimes,2,paul04@example.net,Irregular
100353,37.1,Medium,3,Rarely,5,dtate@example.com,Regular
101543,53.5,Low,4,Never,7,juliejohnson@example.net,Regular
106547,39.0,Low,1,Sometimes,8,caseyhampton@example.com,Regular
106093,41.5,Low,1,Often,10,montoyajames@example.org,Regular
111299,38.3,Low,3,Often,4,joseph67@example.org,Regular
111643,42.5,Medium,2,Often,6,jgibson@example.com,Irregular
111176,39.0,Low,0,Sometimes,5,mendozacasey@example.net,Irregular
106363,39.7,Low,2,Rarely,3,susanrowe@example.com,Regular
100583,38.2,Medium,2,Rarely,3,shepherdchristopher@example.net,Irregular
101135,38.4,Low,2,Often,6,nwashington@example.net,Regular
100821,44.2,Low,3,Often,3,hcline@example.org,Regular
101114,50.1,Medium,3,Never,5,kendra62@example.org,Regular
106442,36.1,Low,3,Sometimes,4,gosborn@example.net,Regular
106459,40.3,Medium,1,Never,1,lnelson@example.com,Regular
106166,51.2,High,3,Sometimes,6,howarderic@example.net,Regular
110277,42.0,High,0,Never,4,zpitts@example.net,Regular
106590,43.6,Medium,0,Often,9,crystal73@example.org,Regular
105963,35.8,Low,3,Sometimes,13,gary35@example.org,Regular
111680,40.4,Medium,4,Often,2,jamesclark@example.org,Regular
111336,36.8,Low,3,Rarely,1,williamherrera@example.org,Regular
110287,46.9,Low,4,Often,10,hernandezdestiny@example.net,Regular
100973,37.6,Medium,3,Never,6,alyssahunt@example.com,Regular
106029,38.5,High,1,Never,4,patricia55@example.com,Regular
100950,45.4,Low,3,Never,1,serranodustin@example.com,Irregular
110492,42.0,Low,2,Sometimes,2,yrodriguez@example.net,Regular
111104,41.7,High,3,Rarely,4,carol53@example.org,Regular
100718,43.1,Medium,3,Sometimes,8,amybutler@example.org,Regular
106225,41.8,Low,3,Sometimes,3,tracylong@example.net,Regular
106518,35.0,Low,2,Never,5,samanthabrewer@example.net,Regular
106073,44.7,High,3,Rarely,1,benjaminkane@example.net,Regular
100331,43.9,Low,5,Never,1,pruittchristy@example.com,Regular
106257,37.1,Low,3,Often,4,kdavis@example.com,Regular
111378,42.3,High,4,Often,3,christine92@example.org,Irregular
100628,41.8,Low,4,Rarely,4,ejames@example.com,Regular
106034,44.2,Low,5,Rarely,1,swood@example.com,Regular
106254,39.1,Medium,2,Never,8,joshua72@example.com,Irregular
110433,41.5,High,2,Often,3,davilamichael@example.com,Irregular
110744,38.0,Low,2,Never,10,maybrianna@example.com,Regular
106214,46.8,High,3,Sometimes,3,plucero@example.com,Regular
