EmployeeID,MaritalStatus,Gender,EmploymentStatus,JobRole,CareerLevel,PerformanceRating,City,HiringPlatform,PhoneNumber,Email,EducationLevel,ReasonForResignation,DateOfBirth,DateOfJoining,LastAppraisalDate,ResignationDate,YearsOfExperience
111202,Married,Female,FullTime,Intern,Experienced,Excellent,Gurgaon,Indeed,9.19666E+11,aarna.virk@gmail.com,Graduate,Still Working,17/12/1996,27/02/2023,4/30/2025,NA,0
100621,Married,Female,FullTime,Business Analyst,Experienced,Good,Mumbai,Employee Referral,9.17852E+11,sana.tata@gmail.com,Graduate,Still Working,12/11/1984,23/05/2018,9/23/2024,NA,24
100301,Married,Female,FullTime,Human Resource Manager,Experienced,Excellent,Pune,Naukri.com,9.16027E+11,tara.tandon@gmail.com,Graduate,Still Working,2/3/1992,19/04/2016,3/22/2025,NA,8
101120,Married,Female,FullTime,Product Manager,Experienced,Poor,Hyderabad,LinkedIn,9.1778E+11,samaira.bal@gmail.com,Graduate,Still Working,8/12/2002,22/05/2016,8/30/2024,NA,14
101124,Married,Male,Outsource,Data Scientist,Experienced,Good,Mumbai,Internshala,9.16705E+11,reyansh.thaker@gmail.com,Postgraduate,Toxic Work Culture,28/04/1983,14/10/2019,12/17/2024,12/18/2024,2
110788,Unmarried,Female,Outsource,Business Analyst,Fresher,Good,Bengaluru,Employee Referral,9.18942E+11,ryan.char@gmail.com,Graduate,Career Change,29/10/1997,6/6/2020,9/19/2024,9/20/2024,0
105394,Married,Male,Outsource,Machine Learning Engineer,Experienced,Good,Pune,Employee Referral,9.18158E+11,yuvraj..banerjee@gmail.com,Graduate,Still Working,22/06/1971,10/8/2024,5/14/2025,NA,15
101226,Unmarried,Male,FullTime,Delivery Manager,Fresher,Good,Pune,LinkedIn,9.167E+11,ehsaan.dugar@gmail.com,Postgraduate,Still Working,1/9/1968,4/5/2016,2/5/2025,NA,0
105911,Married,Male,FullTime,Software Engineer,Experienced,Good,Mumbai,Naukri.com,9.18047E+11,lakshay.bhalla@gmail.com,Postgraduate,Career Change,27/09/1992,17/01/2023,10/1/2025,10/2/2025,25
110566,Married,Male,FullTime,Business Analyst,Experienced,Excellent,Pune,Internshala,9.1952E+11,aayush.ganguly@gmail.com,Graduate,Still Working,9/7/1981,1/11/2023,6/3/2025,NA,3
106577,Married,Male,Outsource,Marketing Analyst,Experienced,Good,Mumbai,Company Website,9.19752E+11,stuvan.yadav@gmail.com,Graduate,Still Working,25/12/1993,21/03/2024,8/16/2024,NA,11
106473,Married,Male,FullTime,VP-Technology Solution,Experienced,Excellent,Hyderabad,Internshala,9.16285E+11,rasha.dutta@gmail.com,Graduate,Still Working,10/2/1975,17/06/2020,9/4/2025,NA,20
100603,Married,Male,FullTime,Software Engineer,Experienced,Good,Mumbai,Company Website,9.19629E+11,saksham.dhar@gmail.com,Graduate,Toxic Work Culture,1/5/2001,24/07/2018,9/29/2024,9/30/2024,12
106411,Married,Male,Outsource,Machine Learning Engineer,Experienced,Good,Hyderabad,Internshala,9.16193E+11,manjari.sawhney@gmail.com,Postgraduate,Career Change,30/03/1987,17/06/2018,5/4/2025,5/5/2025,17
100730,Unmarried,Male,FullTime,Human Resource Manager,Fresher,Excellent,Bengaluru,Employee Referral,9.16059E+11,madhup.gopal@gmail.com,Postgraduate,Still Working,24/08/1986,7/10/2019,2/15/2025,NA,1
106540,Married,Female,Outsource,Machine Learning Engineer,Experienced,Good,Mumbai,Naukri.com,9.18256E+11,vritika.swamy@gmail.com,Postgraduate,Still Working,4/4/1988,7/3/2016,2/9/2024,NA,14
106529,Married,Female,Outsource,Quality Analyst,Experienced,Good,Hyderabad,Internshala,9.16852E+11,badal.tata@gmail.com,Graduate,Toxic Work Culture,20/12/1989,6/3/2021,1/4/2025,1/5/2025,11
110848,Married,Female,FullTime,Marketing Analyst,Experienced,Excellent,Pune,Company Website,9.16914E+11,neelofar.bhatnagar@gmail.com,Postgraduate,Still Working,15/08/1980,14/12/2019,6/2/2025,NA,4
105437,Married,Female,FullTime,Software Engineer,Experienced,Good,Gurgaon,LinkedIn,9.19202E+11,eshani.chaudhry@gmail.com,Graduate,Still Working,30/07/1989,26/09/2018,12/13/2024,NA,25
110342,Married,Male,FullTime,Software Engineer,Experienced,Good,Gurgaon,LinkedIn,9.16743E+11,kanav.brahmbhatt@gmail.com,Graduate,Career Change,13/07/2001,6/9/2017,6/1/2025,6/2/2025,16
110552,Unmarried,Female,FullTime,Product Manager,Fresher,Excellent,Gurgaon,Company Website,9.19416E+11,anika.hayre@gmail.com,Graduate,Still Working,24/10/1990,12/7/2020,11/6/2025,NA,1
111140,Married,Female,FullTime,Data Analyst,Experienced,Good,Pune,Company Website,9.19999E+11,shaan.sampath@gmail.com,Graduate,Toxic Work Culture,1/4/2003,24/08/2022,12/8/2025,12/9/2025,7
100373,Married,Male,Outsource,Software Engineer,Experienced,Poor,Mumbai,Internshala,9.18182E+11,biju.kari@gmail.com,Postgraduate,Toxic Work Culture,14/11/1972,9/5/2018,7/21/2025,7/22/2025,18
106561,Married,Male,Outsource,Data Analyst,Experienced,Good,Mumbai,Employee Referral,9.19098E+11,vivaan.kibe@gmail.com,Postgraduate,Career Change,8/3/1980,26/08/2018,12/29/2024,12/30/2024,8
110363,Married,Female,Outsource,Quality Analyst,Experienced,Excellent,Mumbai,Company Website,9.19302E+11,advika.bera@gmail.com,Graduate,Career Change,7/10/1981,1/4/2016,1/5/2025,1/6/2025,8
101682,Married,Female,FullTime,Business Analyst,Experienced,Good,Bengaluru,Company Website,9.16302E+11,akarsh.khalsa@gmail.com,Postgraduate,Still Working,20/10/2001,30/05/2022,12/2/2025,NA,13
105543,Married,Female,FullTime,Machine Learning Engineer,Experienced,Good,Bengaluru,Internshala,9.17832E+11,sara.soman@gmail.com,Postgraduate,Toxic Work Culture,9/6/1981,13/11/2019,11/29/2024,11/30/2024,17
101626,Married,Female,FullTime,Project Manager,Experienced,Excellent,Pune,Naukri.com,9.18755E+11,nirvaan.gulati@gmail.com,Graduate,Still Working,30/04/1974,11/1/2021,2/26/2025,NA,13
110505,Unmarried,Male,FullTime,Machine Learning Engineer,Experienced,Excellent,Gurgaon,LinkedIn,9.19899E+11,tejas.guha@gmail.com,Graduate,Toxic Work Culture,17/04/1997,3/11/2019,2/19/2025,2/20/2025,5
106141,Married,Female,FullTime,Product Manager,Experienced,Good,Bengaluru,Internshala,9.16437E+11,misha.comar@gmail.com,Graduate,Career Change,1/5/2000,23/01/2016,10/25/2024,10/26/2024,13
111250,Married,Female,FullTime,Project Manager,Experienced,Good,Mumbai,Naukri.com,9.17158E+11,yasmin.mallick@gmail.com,Postgraduate,Toxic Work Culture,29/07/1982,15/09/2021,7/29/2025,7/30/2025,14
105390,Married,Female,Outsource,Quality Assurance Engineer,Experienced,Good,Bengaluru,LinkedIn,9.16601E+11,aayush.sarma@gmail.com,Postgraduate,Still Working,17/10/1974,15/05/2024,9/10/2024,NA,4
100381,Married,Female,FullTime,Data Engineer,Experienced,Poor,Gurgaon,Naukri.com,9.19233E+11,ayesha.barman@gmail.com,Graduate,Still Working,3/11/1990,29/05/2019,10/29/2024,NA,14
105634,Unmarried,Female,FullTime,Human Resource Manager,Fresher,Good,Bengaluru,Employee Referral,9.17681E+11,zara.khanna@gmail.com,Graduate,Toxic Work Culture,27/08/1970,30/04/2022,10/1/2025,10/2/2025,0
100826,Married,Female,Outsource,Machine Learning Engineer,Experienced,Good,Bengaluru,Naukri.com,9.17617E+11,anahi.bera@gmail.com,Graduate,Long Working Hours,1/1/2000,20/02/2023,7/5/2025,7/6/2025,24
110407,Married,Female,FullTime,Delivery Manager,Experienced,Good,Gurgaon,LinkedIn,9.19781E+11,sumer.sarna@gmail.com,Postgraduate,Still Working,2/4/1980,11/8/2021,4/10/2024,NA,6
101188,Married,Female,FullTime,Product Manager,Experienced,Excellent,Pune,Indeed,9.19533E+11,tarini.ramaswamy@gmail.com,Graduate,Career Change,27/03/1996,6/11/2020,6/19/2025,6/20/2025,8
105820,Married,Female,FullTime,Machine Learning Engineer,Experienced,Good,Gurgaon,Internshala,9.17603E+11,anahi.kara@gmail.com,Graduate,Career Change,25/07/1984,11/9/2020,1/14/2025,1/15/2025,16
111184,Married,Female,Outsource,Quality Analyst,Experienced,Excellent,Mumbai,Indeed,9.17427E+11,mishti.dugar@gmail.com,Graduate,Career Change,1/6/1986,31/05/2020,5/4/2025,5/5/2025,5
111302,Married,Female,Outsource,Human Resource Manager,Experienced,Excellent,Pune,LinkedIn,9.18386E+11,zain.bhagat@gmail.com,Graduate,Career Change,12/2/1966,8/2/2019,12/26/2024,12/27/2024,14
111533,Married,Female,Outsource,Data Analyst,Experienced,Good,Hyderabad,Company Website,9.18894E+11,samaira.dua@gmail.com,Graduate,Career Change,10/7/1968,30/07/2020,3/4/2025,3/5/2025,5
106660,Married,Female,FullTime,VP-Business Solution,Experienced,Good,Bengaluru,LinkedIn,9.16348E+11,kavya.sarin@gmail.com,Postgraduate,Still Working,14/04/1976,18/08/2022,6/6/2025,NA,20
105937,Married,Female,FullTime,Machine Learning Engineer,Experienced,Excellent,Pune,Employee Referral,9.16058E+11,sara.badami@gmail.com,Graduate,Long Working Hours,28/02/1977,3/4/2022,7/8/2025,7/9/2025,14
101053,Married,Female,Outsource,Marketing Analyst,Experienced,Excellent,Hyderabad,Naukri.com,9.17937E+11,vedika.kar@gmail.com,Graduate,Career Change,2/2/1977,20/03/2018,6/22/2025,6/23/2025,6
111692,Unmarried,Female,FullTime,Software Tester,Fresher,Good,Bengaluru,Indeed,9.16723E+11,rhea.sastry@gmail.com,Graduate,Long Working Hours,20/09/1977,28/11/2021,2/5/2025,2/6/2025,0
111397,Married,Female,FullTime,Machine Learning Engineer,Experienced,Good,Pune,Internshala,9.18703E+11,faiyaz.varma@gmail.com,Graduate,Still Working,29/11/1988,29/07/2018,3/12/2024,NA,23
100674,Married,Female,FullTime,Software Tester,Experienced,Excellent,Gurgaon,Indeed,9.17149E+11,ehsaan.gara@gmail.com,Graduate,Long Working Hours,8/4/1984,9/8/2016,12/21/2024,12/22/2024,12
110454,Married,Female,FullTime,Delivery Manager,Experienced,Good,Pune,Internshala,9.1756E+11,kashvi.gokhale@gmail.com,Graduate,Long Working Hours,11/1/2003,11/4/2020,11/8/2025,11/9/2025,8
100769,Married,Female,FullTime,Machine Learning Engineer,Experienced,Good,Mumbai,Naukri.com,9.18425E+11,piya.mann@gmail.com,Graduate,Still Working,24/08/1983,2/7/2021,10/9/2024,NA,23
105779,Unmarried,Male,Outsource,Delivery Manager,Experienced,Excellent,Mumbai,LinkedIn,9.17678E+11,baiju.kohli@gmail.com,Graduate,Still Working,7/8/1988,13/06/2022,4/12/2024,NA,4
110642,Married,Male,FullTime,Data Analyst,Experienced,Excellent,Hyderabad,Company Website,9.19764E+11,farhan.gokhale@gmail.com,Graduate,Still Working,4/9/1989,11/6/2017,5/17/2025,NA,19
110524,Married,Female,FullTime,Software Engineer,Experienced,Good,Gurgaon,Employee Referral,9.19752E+11,kimaya.bahri@gmail.com,Graduate,Still Working,31/12/1993,8/7/2019,9/22/2024,NA,20
106501,Unmarried,Female,Outsource,Project Manager,Experienced,Excellent,Gurgaon,Naukri.com,9.18232E+11,kashvi.kuruvilla@gmail.com,Postgraduate,Long Working Hours,12/7/1988,11/9/2019,12/19/2024,12/20/2024,3
105688,Married,Female,FullTime,Data Scientist,Experienced,Good,Bengaluru,Naukri.com,9.17919E+11,dishani.kanda@gmail.com,Postgraduate,Long Working Hours,18/05/1977,11/1/2018,9/19/2024,9/20/2024,24
110612,Married,Female,FullTime,Data Scientist,Experienced,Good,Gurgaon,Company Website,9.18284E+11,tara.anand@gmail.com,Graduate,Long Working Hours,17/01/1980,6/12/2020,12/28/2024,12/29/2024,15
110478,Unmarried,Female,Outsource,Business Analyst,Fresher,Poor,Hyderabad,Employee Referral,9.1853E+11,tanya.lala@gmail.com,Graduate,Still Working,2/7/1989,9/6/2017,12/3/2025,NA,0
105370,Married,Female,Outsource,Software Engineer,Experienced,Good,Pune,LinkedIn,9.18311E+11,kartik.dhar@gmail.com,Graduate,Long Working Hours,13/10/1996,12/3/2017,12/20/2024,12/21/2024,13
100852,Married,Female,FullTime,Delivery Manager,Experienced,Excellent,Hyderabad,LinkedIn,9.1971E+11,kaira.walia@gmail.com,Graduate,Still Working,29/04/1972,16/01/2020,3/27/2025,NA,14
106462,Married,Male,FullTime,Software Engineer,Experienced,Good,Hyderabad,Naukri.com,9.1988E+11,bhavin.sodhi@gmail.com,Postgraduate,Long Working Hours,28/12/1978,7/9/2016,10/31/2024,11/1/2024,17
101163,Married,Female,FullTime,Business Analyst,Experienced,Excellent,Gurgaon,Indeed,9.17907E+11,samar.dhillon@gmail.com,Postgraduate,Still Working,15/07/1979,21/09/2020,3/4/2025,NA,9
110312,Married,Female,FullTime,Machine Learning Engineer,Experienced,Excellent,Pune,Internshala,9.19226E+11,trisha.borah@gmail.com,Graduate,Still Working,17/08/1980,12/3/2024,7/26/2025,NA,24
100942,Unmarried,Female,FullTime,Data Engineer,Fresher,Good,Pune,Internshala,9.19288E+11,samar.rao@gmail.com,Graduate,Still Working,11/1/1987,10/1/2016,1/31/2025,NA,0
106620,Married,Female,FullTime,Quality Analyst,Experienced,Excellent,Gurgaon,Employee Referral,9.18641E+11,pari.korpal@gmail.com,Graduate,Still Working,20/12/1976,22/11/2020,9/27/2024,NA,11
105538,Unmarried,Female,FullTime,Quality Analyst,Fresher,Good,Pune,Indeed,9.19432E+11,nirvi.sankar@gmail.com,Graduate,Still Working,8/7/1974,13/06/2018,1/4/2025,NA,1
100515,Married,Female,Outsource,Machine Learning Engineer,Experienced,Good,Gurgaon,Indeed,9.16828E+11,darshit.varty@gmail.com,Graduate,Still Working,30/01/1977,6/6/2018,2/16/2025,NA,19
106245,Married,Female,FullTime,Data Analyst,Experienced,Good,Mumbai,Indeed,9.18938E+11,zara.subramaniam@gmail.com,Graduate,Still Working,8/11/1966,2/1/2018,3/15/2025,NA,7
110699,Married,Male,Outsource,Data Scientist,Experienced,Excellent,Mumbai,Naukri.com,9.17609E+11,kismat.krishnan@gmail.com,Postgraduate,Still Working,18/04/1990,12/10/2018,9/8/2025,NA,19
105678,Unmarried,Female,FullTime,Data Engineer,Experienced,Good,Pune,Internshala,9.1651E+11,ritvik.tella@gmail.com,Postgraduate,Still Working,5/11/1997,4/4/2019,12/17/2024,NA,2
111089,Married,Female,Outsource,Project Manager,Experienced,Excellent,Gurgaon,Internshala,9.16595E+11,tara.koshy@gmail.com,Graduate,Still Working,3/10/1967,27/09/2020,6/19/2025,NA,11
110423,Married,Female,FullTime,Machine Learning Engineer,Experienced,Excellent,Pune,Indeed,9.16129E+11,adira.mammen@gmail.com,Graduate,Still Working,26/06/1975,13/05/2018,7/14/2025,NA,21
110646,Unmarried,Female,FullTime,Project Manager,Fresher,Good,Mumbai,Company Website,9.16925E+11,damini.sodhi@gmail.com,Graduate,Career Change,11/11/1985,26/10/2023,6/26/2025,6/27/2025,1
105419,Unmarried,Female,FullTime,Marketing Analyst,Fresher,Excellent,Hyderabad,Internshala,9.19668E+11,anay.sarraf@gmail.com,Postgraduate,Still Working,25/02/1988,21/06/2021,7/21/2025,NA,1
100597,Married,Male,FullTime,CEO,Experienced,Excellent,Hyderabad,Company Website,9.17246E+11,aarush.kanda@gmail.com,Graduate,Still Working,9/11/1974,30/07/2016,6/11/2024,NA,17
100992,Unmarried,Female,Outsource,Human Resource Manager,Fresher,Good,Pune,Company Website,9.1957E+11,kimaya.bhargava@gmail.com,Postgraduate,Career Change,24/06/1985,1/7/2021,11/14/2024,11/15/2024,1
101306,Married,Female,Outsource,Machine Learning Engineer,Experienced,Good,Bengaluru,Naukri.com,9.19649E+11,ishaan.rout@gmail.com,Graduate,Still Working,11/5/1985,11/1/2024,7/1/2025,NA,9
100919,Married,Male,FullTime,Software Tester,Experienced,Good,Gurgaon,LinkedIn,9.18743E+11,ivan.sama@gmail.com,Graduate,Long Working Hours,9/3/1970,25/10/2016,3/25/2025,3/26/2025,8
106638,Married,Male,FullTime,Data Analyst,Experienced,Good,Hyderabad,Indeed,9.18138E+11,ranbir.arya@gmail.com,Postgraduate,Still Working,18/05/1966,24/08/2019,8/15/2024,NA,12
105429,Unmarried,Male,FullTime,Human Resource Manager,Experienced,Excellent,Bengaluru,Company Website,9.16093E+11,gokul.buch@gmail.com,Graduate,Still Working,28/11/1976,10/2/2022,2/10/2024,NA,3
110932,Married,Female,FullTime,Data Analyst,Fresher,Good,Hyderabad,Internshala,9.19443E+11,nehmat.dubey@gmail.com,Graduate,Long Working Hours,1/9/1977,2/3/2017,12/20/2024,12/21/2024,0
100760,Married,Male,FullTime,Data Scientist,Experienced,Good,Pune,LinkedIn,9.16869E+11,kartik.anne@gmail.com,Graduate,Long Working Hours,24/06/1993,12/4/2016,8/31/2024,9/1/2024,13
100639,Married,Female,FullTime,VP-Delivery Head,Experienced,Poor,Mumbai,LinkedIn,9.1734E+11,devansh.sahni@gmail.com,Graduate,Still Working,1/12/2000,19/11/2020,11/18/2024,NA,13
111049,Unmarried,Male,FullTime,Project Manager,Fresher,Poor,Mumbai,LinkedIn,9.16299E+11,nirvaan.sarin@gmail.com,Graduate,Long Working Hours,18/01/1965,24/05/2016,3/21/2025,3/22/2025,0
111157,Married,Female,FullTime,Delivery Manager,Experienced,Good,Bengaluru,Company Website,9.16318E+11,farhan.mani@gmail.com,Graduate,Still Working,11/4/1970,4/3/2017,10/23/2024,NA,6
100957,Married,Female,FullTime,Software Engineer,Experienced,Excellent,Bengaluru,LinkedIn,9.18223E+11,vardaniya.jain@gmail.com,Graduate,Long Working Hours,29/01/1974,12/8/2023,3/19/2025,3/20/2025,17
111083,Married,Male,Outsource,Machine Learning Engineer,Experienced,Excellent,Gurgaon,Naukri.com,9.16097E+11,fateh.deep@gmail.com,Graduate,Still Working,6/1/1988,16/05/2022,7/26/2025,NA,14
110793,Unmarried,Female,FullTime,Human Resource Manager,Experienced,Poor,Bengaluru,Employee Referral,9.19501E+11,fateh.chaudhari@gmail.com,Graduate,Long Working Hours,13/08/1991,27/01/2021,9/11/2024,9/12/2024,2
105969,Married,Female,Outsource,Quality Assurance Engineer,Experienced,Excellent,Bengaluru,Company Website,9.19507E+11,ira.setty@gmail.com,Postgraduate,Still Working,23/10/1997,13/11/2021,1/11/2024,NA,6
111235,Married,Female,FullTime,Data Scientist,Experienced,Good,Hyderabad,Naukri.com,9.16006E+11,dhruv.sandal@gmail.com,Graduate,Long Working Hours,8/5/1994,27/07/2021,9/22/2024,9/23/2024,25
101192,Unmarried,Female,FullTime,Delivery Manager,Fresher,Good,Hyderabad,Company Website,9.18913E+11,sana.sampath@gmail.com,Graduate,Long Working Hours,10/6/1988,17/09/2017,1/31/2025,2/1/2025,1
100610,Married,Female,FullTime,Delivery Manager,Experienced,Good,Mumbai,Company Website,9.18152E+11,diya.sridhar@gmail.com,Graduate,Long Working Hours,6/3/1966,11/5/2017,5/11/2024,5/12/2024,8
111209,Unmarried,Female,FullTime,Machine Learning Engineer,Fresher,Good,Gurgaon,Employee Referral,9.19168E+11,divij.ramanathan@gmail.com,Graduate,Long Working Hours,23/05/1994,30/10/2021,2/8/2025,2/9/2025,0
100350,Married,Female,FullTime,Machine Learning Engineer,Experienced,Poor,Mumbai,LinkedIn,9.18933E+11,damini.vaidya@gmail.com,Graduate,Long Working Hours,22/02/1998,3/10/2018,10/2/2025,10/3/2025,25
110652,Married,Female,FullTime,CDO,Experienced,Excellent,Pune,Naukri.com,9.17977E+11,tarini.kakar@gmail.com,Graduate,Still Working,12/5/1985,10/7/2024,4/20/2025,NA,25
101407,Married,Female,FullTime,VP-Data And AI,Experienced,Excellent,Hyderabad,Indeed,9.18622E+11,aarush.kibe@gmail.com,Graduate,Still Working,12/5/1974,3/1/2016,1/6/2025,NA,19
101389,Unmarried,Female,FullTime,Human Resource Manager,Fresher,Excellent,Gurgaon,Company Website,9.16294E+11,darshit.dewan@gmail.com,Graduate,Long Working Hours,16/02/1978,8/8/2021,11/19/2024,11/20/2024,1
111290,Married,Female,FullTime,Data Analyst,Experienced,Good,Mumbai,Naukri.com,9.19942E+11,advik.dhar@gmail.com,Graduate,Still Working,13/10/1974,31/01/2017,10/18/2024,NA,7
101037,Married,Female,FullTime,Quality Assurance Engineer,Experienced,Excellent,Mumbai,Indeed,9.19364E+11,siya.wagle@gmail.com,Graduate,Still Working,26/08/1986,25/11/2020,6/13/2025,NA,9
106436,Married,Female,FullTime,Data Scientist,Experienced,Excellent,Gurgaon,Naukri.com,9.17341E+11,dishani.chad@gmail.com,Graduate,Long Working Hours,26/12/1977,9/9/2020,1/26/2025,1/27/2025,23
105558,Married,Female,FullTime,Software Engineer,Experienced,Good,Mumbai,Internshala,9.17948E+11,eva.sankar@gmail.com,Postgraduate,Still Working,20/01/1989,13/10/2018,11/18/2024,NA,16
101331,Unmarried,Female,Outsource,Data Scientist,Fresher,Good,Mumbai,Company Website,9.16572E+11,jiya.mani@gmail.com,Graduate,Still Working,23/07/1986,23/10/2021,10/6/2025,NA,1
106599,Married,Female,FullTime,COO,Experienced,Excellent,Pune,Indeed,9.19757E+11,priyansh.deshpande@gmail.com,Graduate,Still Working,30/05/1990,23/12/2016,4/8/2025,NA,24
106697,Married,Female,FullTime,Business Analyst,Experienced,Excellent,Hyderabad,Internshala,9.16334E+11,amani.sharma@gmail.com,Postgraduate,Still Working,20/06/1993,5/4/2023,9/2/2025,NA,7
101264,Married,Female,FullTime,Software Tester,Experienced,Good,Mumbai,Internshala,9.17805E+11,zaina.sinha@gmail.com,Postgraduate,Still Working,14/03/1997,14/10/2019,6/19/2025,NA,8
105488,Married,Male,FullTime,Delivery Manager,Experienced,Good,Mumbai,Indeed,9.17284E+11,tejas.biswas@gmail.com,Postgraduate,Long Working Hours,16/03/1973,17/10/2016,11/16/2024,11/17/2024,3
111373,Married,Female,Outsource,Software Engineer,Experienced,Excellent,Hyderabad,Employee Referral,9.16814E+11,ishaan.dua@gmail.com,Graduate,Still Working,26/06/2003,25/03/2023,12/30/2024,NA,21
100398,Married,Female,Outsource,Software Engineer,Experienced,Poor,Gurgaon,LinkedIn,9.177E+11,mishti.ramakrishnan@gmail.com,Postgraduate,Long Working Hours,23/03/1987,22/11/2016,6/8/2025,6/9/2025,13
111266,Married,Female,FullTime,Quality Assurance Engineer,Experienced,Excellent,Bengaluru,Indeed,9.18932E+11,vritika.ramesh@gmail.com,Graduate,Long Working Hours,21/03/1999,8/7/2017,8/29/2024,8/30/2024,15
106608,Married,Female,FullTime,Data Engineer,Experienced,Good,Mumbai,Indeed,9.19421E+11,romil.sidhu@gmail.com,Graduate,Still Working,5/6/1994,27/05/2023,10/2/2025,NA,14
100899,Married,Female,FullTime,Data Scientist,Experienced,Good,Hyderabad,Naukri.com,9.19997E+11,aradhya.khatri@gmail.com,Postgraduate,Still Working,22/02/1989,28/01/2023,4/24/2025,NA,7
101662,Married,Female,FullTime,Marketing Analyst,Experienced,Poor,Hyderabad,Indeed,9.19188E+11,mishti.walla@gmail.com,Graduate,Long Working Hours,5/4/1965,18/11/2021,7/13/2025,7/14/2025,6
111427,Married,Male,Outsource,Business Analyst,Experienced,Excellent,Bengaluru,Internshala,9.18425E+11,nishith.kapur@gmail.com,Graduate,Long Working Hours,19/01/1984,30/01/2020,9/15/2024,9/16/2024,9
105592,Married,Female,FullTime,Delivery Manager,Experienced,Poor,Hyderabad,Internshala,9.18553E+11,mahika.bhardwaj@gmail.com,Postgraduate,Long Working Hours,18/06/1981,17/09/2022,5/3/2025,5/4/2025,15
